product_name,shop_name,username,rating,review,date,case_folding,cleaning,clean_review,topic,topic_0_score,topic_1_score,label,label_code
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,maxyla,5,"Order barang 15jutaan tapi saya gak ada anxiety sama sekali karena ada bonus asuransi pengiriman dan bubble wrap tebal. Cuma bubblenya kurang tebal di bagian ujung-ujungnya aja, semisal petugas ekspekdisinya gak niat kerja dan asal lempar barang, bisa ambyar tuh kardusnya.

Overall oke. Pengemasan sampai pengiriman cepat, dan packaging 8 out of 10. Waktu di-unboxing dan nyalain unit, semuanya normal. Garansi dari ASUS Indonesia 2 tahun ternyata, sedangkan kalau lihat video-video review orang luar (EU, US) di YT, mayoritas 1 tahun doang. Nice addition, but hopefully nothing will went wrong with my unit.

Saatnya millenial main game lagi. Let's go!",2026-01-31 11:52:29,"order barang 15jutaan tapi saya gak ada anxiety sama sekali karena ada bonus asuransi pengiriman dan bubble wrap tebal. cuma bubblenya kurang tebal di bagian ujung-ujungnya aja, semisal petugas ekspekdisinya gak niat kerja dan asal lempar barang, bisa ambyar tuh kardusnya.

overall oke. pengemasan sampai pengiriman cepat, dan packaging 8 out of 10. waktu di-unboxing dan nyalain unit, semuanya normal. garansi dari asus indonesia 2 tahun ternyata, sedangkan kalau lihat video-video review orang luar (eu, us) di yt, mayoritas 1 tahun doang. nice addition, but hopefully nothing will went wrong with my unit.

saatnya millenial main game lagi. let's go!",order barang lima belasjutaan tapi saya gak ada anxiety sama sekali karena ada bonus asuransi pengiriman dan bubble wrap tebal cuma bubblenya kurang tebal di bagian ujung ujungnya aja semisal petugas ekspekdisinya gak niat kerja dan asal lempar barang bisa ambyar tuh kardusnya overall oke pengemasan sampai pengiriman cepat dan packaging delapan out of sepuluh waktu di unboxing dan nyalain unit semuanya normal garansi dari asus indonesia dua tahun ternyata sedangkan kalau lihat video video review orang luar eu us di yt mayoritas satu tahun doang nice addition but hopefully nothing will went wrong with my unit saatnya millenial main game lagi let s go,order barang lima belasjutaan tapi saya tidak ada anxiety sama sekali karena ada bonus asuransi pengiriman dan bubble wrap tebal cuma bubblenya kurang tebal di bagian ujung ujungnya saja semisal petugas ekspekdisinya tidak niat kerja dan asal lempar barang bisa ambyar tuh kardusnya overall oke pengemasan sampai pengiriman cepat dan kemasan delapan out of sepuluh waktu di unboxing dan nyalain unit semuanya normal garansi dari asus indonesia dua tahun ternyata sedangkan kalau lihat video video review orang luar eu us di yt mayoritas satu tahun doang nice addition but hopefully nothing will went wrong with my unit saatnya millenial main game lagi let s go,0,0.5969133852839529,0.403086614716047,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,p*****a,5,"Kenyamanan:nyaman, memanjakan mata
Fungsi:semua fitur berfungsi

Nda usah pilih pilih, beli ini aja sudah",2026-05-10 10:03:58,"kenyamanan:nyaman, memanjakan mata
fungsi:semua fitur berfungsi

nda usah pilih pilih, beli ini aja sudah",kenyamanan nyaman memanjakan mata fungsi semua fitur berfungsi nda usah pilih pilih beli ini aja sudah,kenyamanan nyaman memanjakan mata fungsi semua fitur berfungsi nda usah pilih pilih beli ini saja sudah,0,0.5646175752870165,0.4353824247129835,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,galeh.yudha,5,Mantap pokonya untuk ROG XBOX ally x cuma pelayanan penjual’a respon chat lambat respon kirim barang’a juga lambat,2025-12-07 21:05:10,mantap pokonya untuk rog xbox ally x cuma pelayanan penjual’a respon chat lambat respon kirim barang’a juga lambat,mantap pokonya untuk rog xbox ally x cuma pelayanan penjual a respon chat lambat respon kirim barang a juga lambat,mantap pokoknya untuk rog xbox ally x cuma pelayanan penjual a respon chat lambat respon kirim barang a juga lambat,0,0.9656966320537645,0.03430336794623557,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,usmank2504,5,Barang diterima dengan baik. Respon seller juga cepat. Semoga device berfungsi normal semua,2026-04-15 22:49:29,barang diterima dengan baik. respon seller juga cepat. semoga device berfungsi normal semua,barang diterima dengan baik respon seller juga cepat semoga device berfungsi normal semua,barang diterima dengan baik respon penjual juga cepat semoga device berfungsi normal semua,0,0.9620871302460627,0.037912869753937234,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,l*****e,5,"barang berfungsi dengan baik ,cuman saat datang harus  di cas dulu ,karena belum ada daya",2026-04-21 15:03:36,"barang berfungsi dengan baik ,cuman saat datang harus  di cas dulu ,karena belum ada daya",barang berfungsi dengan baik cuman saat datang harus di cas dulu karena belum ada daya,barang berfungsi dengan baik cuman saat datang harus di cas dulu karena belum ada daya,0,0.9533870253116534,0.04661297468834656,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,adipatishu,5,"Tombol B nya agak cacat, susah ditekannya",2025-12-09 06:31:29,"tombol b nya agak cacat, susah ditekannya",tombol b nya agak cacat susah ditekannya,tombol b nya agak cacat susah ditekannya,0,0.8354192397104456,0.1645807602895544,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,muhammadaswat404,5,"Kenyamanan:barang sampai dengan selamat tanpa kurang sedikitpun, untuk unit yang diterima berfungsi dengan baik dan saat ini tidak ada masalah.",2026-05-21 19:40:37,"kenyamanan:barang sampai dengan selamat tanpa kurang sedikitpun, untuk unit yang diterima berfungsi dengan baik dan saat ini tidak ada masalah.",kenyamanan barang sampai dengan selamat tanpa kurang sedikitpun untuk unit yang diterima berfungsi dengan baik dan saat ini tidak ada masalah,kenyamanan barang sampai dengan selamat tanpa kurang sedikitpun untuk unit yang diterima berfungsi dengan baik dan saat ini tidak ada masalah,0,0.8713628175287801,0.1286371824712199,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,blackmamba023,5,"Fungsi:ok
Kondisi Barang:mantap
Spesifikasi:bagus

Pelayanan sangat ramah",2026-02-28 14:31:42,"fungsi:ok
kondisi barang:mantap
spesifikasi:bagus

pelayanan sangat ramah",fungsi ok kondisi barang mantap spesifikasi bagus pelayanan sangat ramah,fungsi ok kondisi barang mantap spesifikasi bagus pelayanan sangat ramah,0,0.9514368932554432,0.04856310674455682,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,hitammmmmm,5,"Kenyamanan:nyamann
Fungsi:semua berfungsi

Packing rapi tanpa celah,",2026-05-09 18:47:22,"kenyamanan:nyamann
fungsi:semua berfungsi

packing rapi tanpa celah,",kenyamanan nyamann fungsi semua berfungsi packing rapi tanpa celah,kenyamanan nyamann fungsi semua berfungsi packing rapi tanpa celah,0,0.6172493534322916,0.38275064656770846,Asli,1
[RELEASE!!] ROG Xbox Ally X (2025) RC73XA - AMD Ryzen AI Z2 Extreme 24GB 1TB Windows 11 Home 7.0 Inch FHD 120hz,ROG Official Store,santikajaya451,5,Fitur Terbaik:ui xboxnya sangat membatu design mantap,2026-04-22 23:15:41,fitur terbaik:ui xboxnya sangat membatu design mantap,fitur terbaik ui xboxnya sangat membatu design mantap,fitur terbaik ui xboxnya sangat membatu design mantap,0,0.7157901891584585,0.2842098108415415,Asli,1
